number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.45465341782793656,2025-06-11 02:16:50.035614,2025-06-11 02:19:59.675152,0 days 00:03:09.639538,64,False,0.5,128,0.001,minmax,1,COMPLETE
1,0.4371777155038489,2025-06-11 02:16:50.035614,2025-06-11 02:21:40.050804,0 days 00:04:50.015190,64,True,0.3,256,0.0001,L2,3,COMPLETE
2,0.4498361109926411,2025-06-11 02:16:50.035614,2025-06-11 02:21:42.693600,0 days 00:04:52.657986,64,True,0.2,128,0.001,minmax,3,COMPLETE
3,0.37868918767986026,2025-06-11 02:16:50.051240,2025-06-11 02:19:49.434393,0 days 00:02:59.383153,64,False,0.4,128,0.0001,L2,1,COMPLETE
4,0.42084763062749114,2025-06-11 02:19:49.434661,2025-06-11 02:24:07.324694,0 days 00:04:17.890033,32,False,0.4,256,0.001,minmax,2,COMPLETE
5,0.2575271943600562,2025-06-11 02:19:59.675152,2025-06-11 02:24:46.323157,0 days 00:04:46.648005,32,False,0.0,128,1e-05,L2,3,COMPLETE
6,0.44081105414651994,2025-06-11 02:21:40.054929,2025-06-11 02:26:38.086261,0 days 00:04:58.031332,32,True,0.3,64,0.001,L2,1,COMPLETE
7,0.3879786272039033,2025-06-11 02:21:42.695730,2025-06-11 02:23:41.355444,0 days 00:01:58.659714,128,True,0.0,64,0.0001,minmax,3,COMPLETE
8,0.36204325600100595,2025-06-11 02:23:41.355444,2025-06-11 02:25:48.833732,0 days 00:02:07.478288,128,True,0.3,128,0.0001,L2,3,COMPLETE
9,0.34157167011956163,2025-06-11 02:24:07.324694,2025-06-11 02:26:34.037372,0 days 00:02:26.712678,64,False,0.2,64,0.0001,L2,2,COMPLETE
10,0.40023425107641647,2025-06-11 02:24:46.329993,2025-06-11 02:26:28.198568,0 days 00:01:41.868575,128,False,0.0,256,0.0001,minmax,2,COMPLETE
11,0.45056803492516356,2025-06-11 02:25:48.835733,2025-06-11 02:32:50.160037,0 days 00:07:01.324304,32,True,0.3,256,0.001,L2,3,COMPLETE
12,0.29352342203667164,2025-06-11 02:26:28.198568,2025-06-11 02:29:20.423905,0 days 00:02:52.225337,64,True,0.5,256,1e-05,L2,1,COMPLETE
13,0.4424175102394875,2025-06-11 02:26:34.039374,2025-06-11 02:28:48.683112,0 days 00:02:14.643738,64,False,0.5,128,0.001,minmax,1,COMPLETE
14,0.4611636155856904,2025-06-11 02:26:38.086261,2025-06-11 02:29:33.168891,0 days 00:02:55.082630,64,True,0.5,128,0.001,minmax,1,COMPLETE
15,0.46984406212153773,2025-06-11 02:28:48.686110,2025-06-11 02:31:16.005183,0 days 00:02:27.319073,64,True,0.2,128,0.001,minmax,1,COMPLETE
16,0.4483934177244068,2025-06-11 02:29:20.423905,2025-06-11 02:32:30.929441,0 days 00:03:10.505536,64,True,0.1,128,0.001,minmax,2,COMPLETE
17,0.45334859982095355,2025-06-11 02:29:33.168891,2025-06-11 02:32:29.304096,0 days 00:02:56.135205,64,True,0.5,128,0.001,minmax,1,COMPLETE
18,0.45446712429141317,2025-06-11 02:31:16.007183,2025-06-11 02:33:17.414739,0 days 00:02:01.407556,64,True,0.1,128,0.001,minmax,1,COMPLETE
19,0.49144356693512153,2025-06-11 02:32:29.307095,2025-06-11 02:34:00.157280,0 days 00:01:30.850185,64,True,0.1,128,0.001,minmax,2,COMPLETE
